hour,nl_node_1,nl_node_2,nl_node_3
7305,333,0.03334,0.02538
7306,333,0.03178,0.0242
7307,333,0.03178,0.0242
7308,333,0.03278,0.02496
7309,333,0.03422,0.02605
7310,333,0.03422,0.02605
7311,333,0.03118,0.02374
7312,333,0.03261,0.02483
7313,333,0.03261,0.02483
7314,333,0.04784,0.03642
7315,333,0,0
7316,333,0.08078,0.0615
7317,333,0.05669,0.04316
7318,333,0,0
7319,333,0.04078,0.03105
7320,333,0.03342,0.02545
7321,333,0.06571,0.05003
7322,333,0.06571,0.05003
7323,333,0.12075,0.09194
7324,333,0.1955,0.14884
7325,333,0.1955,0.14884
7326,333,0.28335,0.21573
7327,333,0.38059,0.28977
7328,333,0.38059,0.28977
7329,333,0.46534,0.35429
7330,333,0.55051,0.41914
7331,333,0.55051,0.41914
7332,333,0.56636,0.4312
7333,333,0.58211,0.44319
7334,333,0.58211,0.44319
7335,333,0.55261,0.42074
7336,333,0.52281,0.39805
7337,333,0.52281,0.39805
7338,333,0.50702,0.38603
7339,333,0.4912,0.37398
7340,333,0.4912,0.37398
7341,333,0.56533,0.43042
7342,333,0.6373,0.48522
7343,333,0.6373,0.48522
7344,333,0.74337,0.56598
7345,333,0.83159,0.63314
7346,333,0.83159,0.63314
7347,333,0.85719,0.65263
7348,333,0.87924,0.66942
7349,333,0.87924,0.66942
7350,333,0.86512,0.65867
7351,333,0.84941,0.64671
7352,333,0.84941,0.64671
7353,333,0.76823,0.5849
7354,333,0.66789,0.50851
7355,333,0.66789,0.50851
7356,333,0.61409,0.46755
7357,333,0.55828,0.42505
7358,333,0.55828,0.42505
7359,333,0.51531,0.39234
7360,333,0.47202,0.35938
7361,333,0.47202,0.35938
7362,333,0.43956,0.33466
7363,333,0.40728,0.31008
7364,333,0.40728,0.31008
7365,333,0.37907,0.28861
7366,333,0.35123,0.26741
7367,333,0.35123,0.26741
7368,333,0.34708,0.26425
7369,333,0.34294,0.2611
7370,333,0.34294,0.2611
7371,333,0.48654,0.37043
7372,333,0.62937,0.47918
7373,333,0.62937,0.47918
7374,333,0.70748,0.53865
7375,333,0.7778,0.59219
7376,333,0.7778,0.59219
7377,333,0.8717,0.66368
7378,333,0.92124,0.7014
7379,333,0.92124,0.7014
7380,333,0.90188,0.68666
7381,333,0.86877,0.66145
7382,333,0.86877,0.66145
7383,333,0.87069,0.66291
7384,333,0.87259,0.66436
7385,333,0.87259,0.66436
7386,333,0.86324,0.65724
7387,333,0.85325,0.64963
7388,333,0.85325,0.64963
7389,333,0.88712,0.67542
7390,333,0.91108,0.69366
7391,333,0.91108,0.69366
7392,333,0.91538,0.69694
7393,333,0.91895,0.69965
7394,333,0.91895,0.69965
7395,333,0.90969,0.69261
7396,333,0.89678,0.68277
7397,333,0.89678,0.68277
